id,year,stock,between,out_degree,in_degree,oil,inv,l,open,oilout_degree,oilin_degree,oilbetween
24,2013,-0.0164,6.7500,1.0000,2.0000,0.0694,0.0191,0.4720,1.4272,0.0694,0.1388,0.4685
24,2014,0.0174,14.0881,2.0000,3.0000,-0.6139,0.0225,0.4776,1.3831,-1.2277,-1.8416,-8.6483
24,2015,-0.0006,14.6667,1.0000,3.0000,-0.3634,0.0178,0.4826,1.3355,-0.3634,-1.0901,-5.3295
24,2016,0.0363,0.0000,0.0000,4.0000,0.3718,0.0180,0.4849,1.2865,0.0000,1.4871,0.0000
24,2017,-0.0544,0.0000,1.0000,1.0000,0.1175,0.0180,0.4849,1.2865,0.1175,0.1175,0.0000
25,2008,-0.4870,2.9722,1.0000,4.0000,-0.7213,0.2970,0.4767,1.7814,-0.7213,-2.8853,-2.1440
25,2009,0.8120,3.1333,1.0000,5.0000,0.5763,0.2841,0.4850,1.3611,0.5763,2.8813,1.8056
25,2010,0.6730,0.0000,1.0000,5.0000,0.1410,0.3035,0.4924,1.4298,0.1410,0.7052,0.0000
25,2011,-0.0884,3.8333,1.0000,6.0000,0.0784,0.3336,0.4984,1.8040,0.0784,0.4702,0.3004
25,2012,-0.0737,4.5833,1.0000,7.0000,-0.0736,0.3906,0.5037,1.6005,-0.0736,-0.5150,-0.3372
25,2013,0.0467,30.2833,3.0000,7.0000,0.0694,0.3325,0.5082,1.6180,0.2082,0.4859,2.1021
25,2014,0.2106,29.2667,2.0000,8.0000,-0.6139,0.3198,0.5119,1.6429,-1.2277,-4.9110,-17.9660
25,2015,-0.0570,56.0000,3.0000,7.0000,-0.3634,0.3006,0.5069,1.4763,-1.0901,-2.5436,-20.3490
25,2016,-0.1016,29.3333,2.0000,4.0000,0.3718,0.2947,0.5001,1.5540,0.7436,1.4871,10.9057
25,2017,0.0224,4.3690,1.0000,2.0000,0.1175,0.2947,0.5001,1.5540,0.1175,0.2351,0.5135
29,2008,-0.4632,92.1500,9.0000,15.0000,-0.7213,0.2112,0.4248,0.9566,-6.4920,-10.8200,-66.4709
